Nom du point de vente,Commune,Daira,Wilaya,Latitude,Longitude,geometry,inside
Point de Vente Bouira 4824,Bouira,Daira de Bouira,Bouira,36.4047,3.423178,POINT (3.423178 36.4047),True
Point de Vente El Khabouzia 3536,El Khabouzia,Daira de El Khabouzia,Bouira,36.566032,3.49367,POINT (3.49367 36.566032),True
Point de Vente Aïn Bessem 4730,Aïn Bessem,Daira de Aïn Bessem,Bouira,36.516786,3.320155,POINT (3.320155 36.516786),True
Point de Vente Aïn El Hadjar 9649,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.057783,3.45096,POINT (3.45096 36.057783),True
Point de Vente Aïn El Hadjar 2466,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.527611,3.495068,POINT (3.495068 36.527611),True
Point de Vente El Khabouzia 9163,El Khabouzia,Daira de El Khabouzia,Bouira,36.477017,3.403328,POINT (3.403328 36.477017),True
Point de Vente Bouira 1729,Bouira,Daira de Bouira,Bouira,36.054066,3.498264,POINT (3.498264 36.054066),True
Point de Vente El Khabouzia 9899,El Khabouzia,Daira de El Khabouzia,Bouira,36.491181,3.333676,POINT (3.333676 36.491181),True
Point de Vente Aïn Bessem 4618,Aïn Bessem,Daira de Aïn Bessem,Bouira,36.538129,3.33818,POINT (3.33818 36.538129),True
Point de Vente Aïn El Hadjar 3504,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.103484,3.49524,POINT (3.49524 36.103484),True
Point de Vente El Khabouzia 1161,El Khabouzia,Daira de El Khabouzia,Bouira,36.079943,3.495986,POINT (3.495986 36.079943),True
Point de Vente Aïn El Hadjar 7866,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.134097,3.499237,POINT (3.499237 36.134097),True
Point de Vente El Khabouzia 1401,El Khabouzia,Daira de El Khabouzia,Bouira,36.458603,3.467503,POINT (3.467503 36.458603),True
Point de Vente Lakhdaria 2636,Lakhdaria,Daira de Lakhdaria,Bouira,36.501617,3.304049,POINT (3.304049 36.501617),True
Point de Vente Bouira 3719,Bouira,Daira de Bouira,Bouira,36.500064,3.432047,POINT (3.432047 36.500064),True
Point de Vente Lakhdaria 4447,Lakhdaria,Daira de Lakhdaria,Bouira,36.590769,3.498187,POINT (3.498187 36.590769),True
Point de Vente El Khabouzia 6091,El Khabouzia,Daira de El Khabouzia,Bouira,36.485644,3.464279,POINT (3.464279 36.485644),True
Point de Vente Lakhdaria 8317,Lakhdaria,Daira de Lakhdaria,Bouira,36.071894,3.491712,POINT (3.491712 36.071894),True
Point de Vente El Khabouzia 7607,El Khabouzia,Daira de El Khabouzia,Bouira,36.058974,3.413158,POINT (3.413158 36.058974),True
Point de Vente Lakhdaria 8800,Lakhdaria,Daira de Lakhdaria,Bouira,36.484784,3.376538,POINT (3.376538 36.484784),True
Point de Vente Bouira 4783,Bouira,Daira de Bouira,Bouira,36.582974,3.487251,POINT (3.487251 36.582974),True
Point de Vente Aïn Bessem 6003,Aïn Bessem,Daira de Aïn Bessem,Bouira,36.538008,3.390427,POINT (3.390427 36.538008),True
Point de Vente Aïn Bessem 8244,Aïn Bessem,Daira de Aïn Bessem,Bouira,36.47527,3.444179,POINT (3.444179 36.47527),True
Point de Vente Aïn El Hadjar 7970,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.479214,3.415657,POINT (3.415657 36.479214),True
Point de Vente Lakhdaria 1187,Lakhdaria,Daira de Lakhdaria,Bouira,36.459041,3.397078,POINT (3.397078 36.459041),True
Point de Vente Aïn Bessem 7956,Aïn Bessem,Daira de Aïn Bessem,Bouira,36.078986,3.46545,POINT (3.46545 36.078986),True
Point de Vente Aïn El Hadjar 2302,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.551448,3.382719,POINT (3.382719 36.551448),True
Point de Vente Aïn El Hadjar 6370,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.067166,3.486362,POINT (3.486362 36.067166),True
Point de Vente Aïn El Hadjar 2766,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.45348,3.428148,POINT (3.428148 36.45348),True
Point de Vente Aïn Bessem 7901,Aïn Bessem,Daira de Aïn Bessem,Bouira,36.05016,3.468351,POINT (3.468351 36.05016),True
Point de Vente Aïn El Hadjar 5937,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.040361,3.444769,POINT (3.444769 36.040361),True
Point de Vente Aïn Bessem 9777,Aïn Bessem,Daira de Aïn Bessem,Bouira,36.561526,3.330376,POINT (3.330376 36.561526),True
Point de Vente Aïn Bessem 1268,Aïn Bessem,Daira de Aïn Bessem,Bouira,36.552423,3.484659,POINT (3.484659 36.552423),True
Point de Vente El Khabouzia 6749,El Khabouzia,Daira de El Khabouzia,Bouira,36.48597,3.452531,POINT (3.452531 36.48597),True
Point de Vente El Khabouzia 2060,El Khabouzia,Daira de El Khabouzia,Bouira,36.457199,3.370342,POINT (3.370342 36.457199),True
Point de Vente El Khabouzia 5454,El Khabouzia,Daira de El Khabouzia,Bouira,36.514978,3.353851,POINT (3.353851 36.514978),True
Point de Vente El Khabouzia 5585,El Khabouzia,Daira de El Khabouzia,Bouira,36.558337,3.495882,POINT (3.495882 36.558337),True
Point de Vente Aïn Bessem 5871,Aïn Bessem,Daira de Aïn Bessem,Bouira,36.066405,3.494543,POINT (3.494543 36.066405),True
Point de Vente Aïn Bessem 3198,Aïn Bessem,Daira de Aïn Bessem,Bouira,36.517967,3.397992,POINT (3.397992 36.517967),True
Point de Vente El Khabouzia 2306,El Khabouzia,Daira de El Khabouzia,Bouira,36.512768,3.489602,POINT (3.489602 36.512768),True
Point de Vente Lakhdaria 6300,Lakhdaria,Daira de Lakhdaria,Bouira,36.500282,3.380168,POINT (3.380168 36.500282),True
Point de Vente Aïn El Hadjar 7138,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.521918,3.411143,POINT (3.411143 36.521918),True
Point de Vente El Khabouzia 4507,El Khabouzia,Daira de El Khabouzia,Bouira,36.063998,3.458256,POINT (3.458256 36.063998),True
Point de Vente Lakhdaria 3275,Lakhdaria,Daira de Lakhdaria,Bouira,36.538937,3.339875,POINT (3.339875 36.538937),True
Point de Vente El Khabouzia 7003,El Khabouzia,Daira de El Khabouzia,Bouira,36.520107,3.371189,POINT (3.371189 36.520107),True
Point de Vente Bouira 7792,Bouira,Daira de Bouira,Bouira,36.036747,3.48261,POINT (3.48261 36.036747),True
Point de Vente Aïn El Hadjar 3644,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.539905,3.419438,POINT (3.419438 36.539905),True
Point de Vente El Khabouzia 6642,El Khabouzia,Daira de El Khabouzia,Bouira,36.463389,3.413955,POINT (3.413955 36.463389),True
Point de Vente Aïn El Hadjar 9671,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.417298,3.418602,POINT (3.418602 36.417298),True
Point de Vente El Khabouzia 3653,El Khabouzia,Daira de El Khabouzia,Bouira,36.471149,3.435371,POINT (3.435371 36.471149),True
Point de Vente Aïn El Hadjar 8295,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.458941,3.376884,POINT (3.376884 36.458941),True
Point de Vente El Khabouzia 6022,El Khabouzia,Daira de El Khabouzia,Bouira,36.533392,3.424224,POINT (3.424224 36.533392),True
Point de Vente Aïn El Hadjar 1288,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.547249,3.466933,POINT (3.466933 36.547249),True
Point de Vente El Khabouzia 8668,El Khabouzia,Daira de El Khabouzia,Bouira,36.494226,3.453994,POINT (3.453994 36.494226),True
Point de Vente El Khabouzia 9348,El Khabouzia,Daira de El Khabouzia,Bouira,36.480231,3.429268,POINT (3.429268 36.480231),True
Point de Vente Lakhdaria 2709,Lakhdaria,Daira de Lakhdaria,Bouira,36.550466,3.410494,POINT (3.410494 36.550466),True
Point de Vente El Khabouzia 2774,El Khabouzia,Daira de El Khabouzia,Bouira,36.578661,3.483355,POINT (3.483355 36.578661),True
Point de Vente Lakhdaria 5631,Lakhdaria,Daira de Lakhdaria,Bouira,36.463041,3.384953,POINT (3.384953 36.463041),True
Point de Vente Aïn El Hadjar 3989,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.509778,3.350337,POINT (3.350337 36.509778),True
Point de Vente El Khabouzia 3152,El Khabouzia,Daira de El Khabouzia,Bouira,36.049332,3.426368,POINT (3.426368 36.049332),True
Point de Vente Bouira 8652,Bouira,Daira de Bouira,Bouira,36.490108,3.403435,POINT (3.403435 36.490108),True
Point de Vente Aïn El Hadjar 4517,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.494389,3.392641,POINT (3.392641 36.494389),True
Point de Vente Aïn Bessem 6175,Aïn Bessem,Daira de Aïn Bessem,Bouira,36.525597,3.453442,POINT (3.453442 36.525597),True
Point de Vente Lakhdaria 7378,Lakhdaria,Daira de Lakhdaria,Bouira,36.517197,3.311828,POINT (3.311828 36.517197),True
Point de Vente El Khabouzia 2895,El Khabouzia,Daira de El Khabouzia,Bouira,36.442368,3.459117,POINT (3.459117 36.442368),True
Point de Vente Bouira 4087,Bouira,Daira de Bouira,Bouira,36.058174,3.478801,POINT (3.478801 36.058174),True
Point de Vente Bouira 5552,Bouira,Daira de Bouira,Bouira,36.055928,3.473256,POINT (3.473256 36.055928),True
