Nom du point de vente,Commune,Daira,Wilaya,Latitude,Longitude
Point de Vente Alger-Centre 717,Alger-Centre,Daira de Alger-Centre,Alger,36.771771,2.60794
Point de Vente Birkhadem 966,Birkhadem,Daira de Birkhadem,Alger,36.844978,3.481132
Point de Vente El Madania 330,El Madania,Daira de El Madania,Alger,36.914062,2.503804
Point de Vente Bab El Oued 464,Bab El Oued,Daira de Bab El Oued,Alger,36.871462,2.875066
Point de Vente Cheraga 562,Cheraga,Daira de Cheraga,Alger,36.574047,3.065084
Point de Vente Hydra 444,Hydra,Daira de Hydra,Alger,36.98322,2.60972
Point de Vente Bordj El Kiffan 514,Bordj El Kiffan,Daira de Bordj El Kiffan,Alger,36.701623,2.764359
Point de Vente Ben Aknoun 76,Ben Aknoun,Daira de Ben Aknoun,Alger,36.561316,2.669016
Point de Vente El Harrach 483,El Harrach,Daira de El Harrach,Alger,36.726841,2.643048
Point de Vente Bir Mourad Raïs 340,Bir Mourad Raïs,Daira de Bir Mourad Raïs,Alger,36.64635,3.101908
Point de Vente Bordj T’Arrerh 521,Bordj T’Arrerh,Daira de Bordj T’Arrerh,Alger,36.714075,3.233455
Point de Vente Kouba 713,Kouba,Daira de Kouba,Alger,36.950972,2.868401
Point de Vente Baraki 176,Baraki,Daira de Baraki,Alger,36.92796,2.780365
Point de Vente Bab El Oued 678,Bab El Oued,Daira de Bab El Oued,Alger,36.552372,3.045209
Point de Vente Chéraga 131,Chéraga,Daira de Chéraga,Alger,36.777243,2.67207
Point de Vente Khemis El Khechna 254,Khemis El Khechna,Daira de Khemis El Khechna,Alger,36.84293,3.0773
Point de Vente Baraki 768,Baraki,Daira de Baraki,Alger,36.658575,2.840644
Point de Vente Tipaza 22,Tipaza,Daira de Tipaza,Tipaza,36.776957,3.163383
Point de Vente Hadjout 638,Hadjout,Daira de Hadjout,Tipaza,36.521175,2.866396
Point de Vente Cherchell 759,Cherchell,Daira de Cherchell,Tipaza,36.50255,3.032148
Point de Vente Sidi Amar 614,Sidi Amar,Daira de Sidi Amar,Tipaza,36.532905,2.949436
Point de Vente Aïn Taghrout 51,Aïn Taghrout,Daira de Aïn Taghrout,Tipaza,36.589083,3.229848
Point de Vente Blida 797,Blida,Daira de Blida,Blida,36.513915,3.23265
Point de Vente Ouled Yaïch 20,Ouled Yaïch,Daira de Ouled Yaïch,Blida,36.586751,3.393632
Point de Vente Boufarik 844,Boufarik,Daira de Boufarik,Blida,36.553799,2.534545
Point de Vente Khemis El Khechna 448,Khemis El Khechna,Daira de Khemis El Khechna,Blida,36.530505,3.063242
Point de Vente Mouzaïa 869,Mouzaïa,Daira de Mouzaïa,Blida,36.513195,2.79558
Point de Vente Bouira 735,Bouira,Daira de Bouira,Bouira,36.429232,3.377858
Point de Vente Lakhdaria 925,Lakhdaria,Daira de Lakhdaria,Bouira,36.565413,3.3071
Point de Vente Aïn Bessem 209,Aïn Bessem,Daira de Aïn Bessem,Bouira,36.244018,2.652956
Point de Vente Aïn El Hadjar 641,Aïn El Hadjar,Daira de Aïn El Hadjar,Bouira,36.247877,3.244011
Point de Vente El Khabouzia 449,El Khabouzia,Daira de El Khabouzia,Bouira,36.457603,2.926159
Point de Vente Boumerdes 183,Boumerdes,Daira de Boumerdes,Boumerdes,36.693131,3.193133
Point de Vente Bordj Menaïel 50,Bordj Menaïel,Daira de Bordj Menaïel,Boumerdes,36.735036,3.016338
Point de Vente Ouled Hellal 839,Ouled Hellal,Daira de Ouled Hellal,Boumerdes,36.7567,3.167621
Point de Vente Benchaâbane 158,Benchaâbane,Daira de Benchaâbane,Boumerdes,36.522973,3.486805
Point de Vente Thenia 193,Thenia,Daira de Thenia,Boumerdes,36.802959,3.155182
Point de Vente Hadjout 6960,Hadjout,Daira de Hadjout,Tipaza,36.360974,2.599474
Point de Vente Benchaâbane 4427,Benchaâbane,Daira de Benchaâbane,Boumerdes,36.832801,2.548447
Point de Vente El Harrach 6177,El Harrach,Daira de El Harrach,Alger,36.68089,3.235978
Point de Vente Aïn Taghrout 1016,Aïn Taghrout,Daira de Aïn Taghrout,Tipaza,36.639222,2.79585
Point de Vente Hadjout 1186,Hadjout,Daira de Hadjout,Tipaza,36.613618,3.199869
Point de Vente Ouled Yaïch 5076,Ouled Yaïch,Daira de Ouled Yaïch,Blida,36.555195,2.839845
Point de Vente Khemis El Khechna 2974,Khemis El Khechna,Daira de Khemis El Khechna,Blida,36.641272,2.78279
